488     438     12     1     138     138
370     510     13     1     138     138
364     754     9     2     123     123
484     784     8     2     98     98
508     688     11     2     98     98
444     1124     12     3     0     0
522     1350     5     4     0     0
470     1692     5     5     85     85
396     1650     11     5     39     39
412     1614     11     5     39     39
532     2036     11     6     92     92
444     1924     8     6     82     82
444     2006     10     6     50     50
444     2278     7     7     0     0
554     2582     7     8     74     74
484     2608     7     8     74     74
488     2918     7     9     104     104
402     2978     8     9     104     104
504     3250     7     10     65     65
496     3328     8     10     54     54
544     3302     10     10     54     54
458     3584     8     11     55     55
422     3626     7     11     55     55
434     3926     8     12     81     81
378     3844     7     12     55     55
428     3820     9     12     55     55
720     424     10     13     82     82
786     474     4     13     82     82
838     566     8     13     56     56
704     778     11     14     41     41
738     754     13     14     41     41
700     1104     9     15     51     51
740     1072     9     15     49     49
762     1116     11     15     42     42
674     1372     7     16     95     95
814     1396     10     16     34     34
780     1402     10     16     27     27
742     1736     10     17     60     60
740     1674     11     17     60     60
688     1764     14     17     60     60
804     2382     11     19     91     91
748     2310     10     19     67     67
692     2348     14     19     67     67
774     2590     4     20     0     0
862     2878     12     21     79     79
814     2990     7     21     53     53
778     2950     11     21     46     46
736     3154     7     22     90     90
826     3160     9     22     81     81
788     3232     8     22     81     81
702     3458     9     23     107     107
816     3448     11     23     79     79
852     3540     7     23     66     66
824     3872     8     24     108     108
716     3864     3     24     52     52
682     3904     8     24     52     52
1060     390     13     25     0     0
998     738     7     26     0     0
1040     1004     13     27     73     73
1064     1094     11     27     60     60
982     1128     9     27     58     58
1014     1318     9     28     80     80
1068     1382     12     28     63     63
1094     1324     11     28     44     44
1110     1634     11     29     59     59
1066     1766     7     29     56     56
1012     1734     8     29     50     50
1014     2080     8     30     106     106
1078     1964     9     30     29     29
1086     1936     10     30     29     29
1096     2526     11     32     68     68
1046     2660     10     32     57     57
1106     2624     4     32     56     56
1158     3168     9     34     132     132
1068     3326     12     34     95     95
1160     3300     7     34     95     95
1104     3522     10     35     75     75
1176     3498     8     35     75     75
1076     3616     7     35     46     46
1110     3832     3     36     0     0
1308     530     10     37     105     105
1440     456     7     37     49     49
1392     466     8     37     49     49
1308     1128     11     39     112     112
1356     1006     7     39     82     82
1438     1006     10     39     73     73
1458     1458     10     40     83     83
1402     1396     4     40     62     62
1358     1498     11     40     58     58
1402     1688     7     41     0     0
1446     2054     12     42     54     54
1356     2042     11     42     53     53
1308     1964     8     42     51     51
1362     2292     12     43     112     112
1468     2330     12     43     112     112
1462     2600     14     44     50     50
1338     2600     13     44     46     46
1378     2576     11     44     44     44
1484     3270     5     46     86     86
1398     3276     9     46     65     65
1428     3166     10     46     48     48
1358     3456     11     47     81     81
1294     3506     9     47     52     52
1328     3588     7     47     36     36
1308     3800     7     48     80     80
1334     3876     7     48     72     72
1468     3868     10     48     58     58
1598     486     9     49     77     77
1632     556     12     49     77     77
1704     470     9     49     56     56
1768     840     9     50     110     110
1658     848     11     50     110     110
1744     730     14     50     83     83
1664     1178     11     51     110     110
1716     1080     2     51     28     28
1742     1068     4     51     28     28
1702     1494     13     52     79     79
1764     1444     11     52     74     74
1706     1398     10     52     60     60
1666     1622     7     53     87     87
1742     1754     11     53     65     65
1674     1776     13     53     59     59
1584     2012     9     54     80     80
1610     1936     7     54     80     80
1686     2098     7     54     73     73
1592     2254     8     55     120     120
1708     2386     13     55     55     55
1674     2342     11     55     49     49
1682     2548     4     56     146     146
1666     2694     11     56     146     146
1608     2930     11     57     87     87
1760     2864     8     57     80     80
1682     2884     12     57     80     80
1756     3306     9     58     91     91
1714     3156     13     58     66     66
1720     3222     6     58     66     66
1772     3508     6     59     92     92
1650     3634     10     59     64     64
1614     3580     11     59     64     64
1594     3806     11     60     86     86
1716     3832     5     60     84     84
1684     3754     7     60     36     36
